Summary,Start Time,End Time,Location
Processamento de Informação - Information Processing,Fri Oct 07 14:30:00 WEST 2022,Fri Oct 07 16:00:00 WEST 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Fri Feb 17 13:00:00 WET 2023,Fri Feb 17 14:30:00 WET 2023,"D1.05, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Wed May 10 14:30:00 WEST 2023,Wed May 10 16:00:00 WEST 2023,"C2.02, 2, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Oct 31 14:30:00 WET 2022,Mon Oct 31 16:00:00 WET 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Nov 30 13:00:00 WET 2022,Wed Nov 30 14:30:00 WET 2022,"C4.02, 4, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Mon Feb 06 14:30:00 WET 2023,Mon Feb 06 16:00:00 WET 2023,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Sep 26 14:30:00 WEST 2022,Mon Sep 26 16:00:00 WEST 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Dec 05 14:30:00 WET 2022,Mon Dec 05 16:00:00 WET 2022,"Auditório 2, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri May 26 14:30:00 WEST 2023,Fri May 26 16:00:00 WEST 2023,"Auditório 4, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue May 23 14:30:00 WEST 2023,Tue May 23 16:00:00 WEST 2023,"C4.05, 4, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Mon Apr 17 14:30:00 WEST 2023,Mon Apr 17 16:00:00 WEST 2023,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri Mar 31 14:30:00 WEST 2023,Fri Mar 31 16:00:00 WEST 2023,"C6.10, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Feb 07 10:30:00 WET 2023,Tue Feb 07 12:00:00 WET 2023,"Auditório 0NE03 - Mário Murteira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Wed Sep 21 16:00:00 WEST 2022,Wed Sep 21 17:30:00 WEST 2022,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Wed Mar 01 14:30:00 WET 2023,Wed Mar 01 16:00:00 WET 2023,"2E05, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Wed Nov 23 16:00:00 WET 2022,Wed Nov 23 17:30:00 WET 2022,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Oct 17 16:00:00 WEST 2022,Mon Oct 17 17:30:00 WEST 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Sep 21 11:00:00 WEST 2022,Wed Sep 21 12:30:00 WEST 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Sep 13 16:00:00 WEST 2022,Tue Sep 13 17:30:00 WEST 2022,"C5.09, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
